Market A,Market B,Market C,P1,P2,P3,Profit(%)
BTC,ETH,BNT,0.020875,0.000988,2.049e-05,-0.6521370215035516
BTC,ETH,IOTX,0.020876,1.373e-05,2.9e-07,1.1766213065125486
BTC,ETH,DOCK,0.020878,2.544e-05,5.4e-07,1.6688145145110855
BTC,ETH,POWR,0.020881,0.00040062,8.34e-06,-0.30299068721630906
BTC,ETH,LSK,0.020878,0.005633,0.0001174,-0.17496930040187264
BTC,ETH,BQX,0.020881,0.0001403,2.94e-06,0.3548499706939934
BTC,ETH,ZEC,0.020877,0.21272,0.004451,0.22618015730417884
BTC,ETH,AGI,0.020874,6.884e-05,1.43e-06,-0.4847824669719447
BTC,ETH,NEBL,0.020877,0.002182,4.562e-05,0.14573157686239568
BTC,ETH,RDN,0.020879,0.0005383,1.121e-05,-0.25950057841038765
BTC,ETH,IOST,0.020882,1.768e-05,3.6e-07,-2.4902262703465072
BTC,ETH,MTL,0.020877,0.001425,2.969e-05,-0.20075815826868793
BTC,ETH,DASH,0.020882,0.3676,0.007673,-0.04198939916182365
BTC,ETH,CMT,0.020882,4.399e-05,9.3e-07,1.2411093160348718
BTC,ETH,QTUM,0.020882,0.007648,0.0001601,0.24699456880441506
BTC,ETH,BAT,0.020882,0.00100399,2.094e-05,-0.12076696654422792
BTC,ETH,ADX,0.020882,0.0004088,8.44e-06,-1.1311533205594082
BTC,ETH,LRC,0.020882,0.00019166,4e-06,-0.05607154218270072
BTC,ETH,EOS,0.020882,0.01301,0.0002715,-0.0643489889861959
BTC,ETH,ZIL,0.020882,5.307e-05,1.11e-06,0.16172599552499722
BTC,ETH,DATA,0.020882,0.00036707,7.65e-06,-0.1977225318581799
BTC,ETH,STORM,0.020882,5.75e-06,1.3e-07,8.2688231595341
BTC,ETH,AE,0.020882,0.000511,1.063e-05,-0.3814369476347501
BTC,ETH,WAVES,0.020882,0.005233,0.0001093,0.02241490421468484
BTC,ETH,ARK,0.020882,0.000967,2.004e-05,-0.7571673480779917
BTC,ETH,LEND,0.020882,0.0003256,6.78e-06,-0.28208110767251604
BTC,ETH,NULS,0.020882,0.00107734,2.225e-05,-1.097985187356798
BTC,ETH,OMG,0.020882,0.005127,0.0001077,0.5959032304398981
BTC,ETH,STORJ,0.020882,0.0005361,1.117e-05,-0.22188972380329242
BTC,ETH,GNT,0.020882,0.00022022,4.59e-06,-0.18775227436884645
BTC,ETH,XLM,0.020882,0.00034269,7.17e-06,0.19490382224105485
BTC,ETH,GTO,0.020882,2.819e-05,5.8e-07,-1.4717370488590564
BTC,ETH,WAN,0.020882,0.000762,1.596e-05,0.30112963204569354
BTC,ETH,BCD,0.020882,0.00268,5.616e-05,0.3506554956278718
BTC,ETH,ETC,0.020882,0.030973,0.000647,0.03429521972158067
BTC,ETH,ELF,0.020882,0.00034528,7.19e-06,-0.2792867890265449
BTC,ETH,XMR,0.020882,0.32205,0.006733,0.11824302044769475
BTC,ETH,VET,0.020882,2.237e-05,4.6e-07,-1.5264133774740563
BTC,ETH,MANA,0.020882,0.00019013,3.94e-06,-0.7630330389634121
BTC,ETH,XRP,0.020882,0.00100831,2.103e-05,-0.1212480555143447
BTC,ETH,TRX,0.020882,7.538e-05,1.58e-06,0.3757636594452052
BTC,ETH,ZRX,0.020882,0.00174932,3.634e-05,-0.518214799506922
BTC,ETH,ADA,0.020882,0.00025302,5.28e-06,-0.06744765924689977
BTC,ETH,ICX,0.020882,0.001332,2.785e-05,0.12646493826455885
BTC,ETH,LOOM,0.020882,6.873e-05,1.43e-06,-0.3636975870721315
BTC,ETH,EDO,0.020882,0.000997,2.084e-05,0.09916734207986444
BTC,ETH,ONT,0.020882,0.002387,4.98e-05,-0.09094933539818273
BTC,ETH,KNC,0.020882,0.0031954,6.64e-05,-0.48907640716675527
BTC,ETH,LINK,0.020882,0.01887248,0.00039355,-0.13832380107102749
BTC,ETH,LTC,0.020882,0.21621,0.004512,-0.06417023154294821
